model,owner,mileage
ccaEbnX-lji,H3 JF8-n0PSa0Le.bv#F,3507.284424
ViNexn,i,939.693420
fRDsJr,w7'-QH!hgtQLwefB,8632.406250
vMtpZoudSMah,o'-WN!UreK7P6-r4,7058.512207
YTsBfHVyNVyi,roQ'yOnPquc5X'gKYMm rQ7P#c1f,4032.600342
a SuvuDjjw,4QTyt,7244.621094
h,pUjfsSVRY0qIU,1004.515991
cT,xc36DCIyt6ahypye8oXj5E.eJk,7200.643555
VUvuycxYhNhs,#ZGZhKQv,6385.373535
fqPuKWvidETNajj,v8yzB7i7P3B3,916.745544
aD,zZ4.qjur88s dsu-nr.d'0qZYc,7165.378906
 sesDXqxXIkOLZ,AY59If2LbiyxE?x?WYKA8H!q,5087.232910
VIM,fNoIcWNB5mhmgLYEfD,3417.212158
MWnSFhTzPEF,j fmWTkKCrt,5183.173340
-MkAmO,X61kTkcOjBl6A5PTe00GaRL3,8392.150391
DiKFI,tBQ#LpgrQ6hN,4996.132812
l,cN1dnvDCz,4006.012207
qgN,?q0Gz!N,3721.731201
WkE W,?n,2603.762207
FMCoJjfNPBO,sONZKivYWumEKx!HLgoy,7903.294922
ACbF,H?uuqG8!  7utYH,4947.631348
mxPVGRfPtFG,7w1BnSoTg0TU,8423.045898
yeYsiydXHJMMNtGr,OLV YwnBa?RUkknTZaBvq,4989.875977
-itLRnaTGPHf,M NM'npV- xq YLp,2206.204346
HUPqZ,TKXhZ#tu#6DFQpjhod#1zdaiMp,8160.915527
VDJQHEyrUqLH,0fz 3GnDB!2FM-ay?,8349.970703
ShEx rchH,hPUn?,3632.420898
hc lyZP,tbGqOi4QNJCTUvIlDgDnRTxSU,4439.305664
E,SyLqCz5Km,7092.234863
Z,xK.DV.JVUk#azmH,4157.547852
qgmDiqaFFB,js8d21GGrNZ-XU-f6CS6,5162.992676
By SPELEtX,FxGq3'HzsCT#,8182.991211
C xfWoXJnNMgM,oLAT86GszLoRK8jD0I.XWVIVgkz,771.922913
woCITiaBfBRobCd,vx934mI,1328.917480
An,iK,4021.653320
C,gviu.By71QbhwwEoir!nwq'-STFCNmwT,4693.159668
zSvQfdwkeQJYEi,NfQAPLb5NbBZ-RBJlzJQ17hovH?1T5,980.822388
YgRjjkKRHr,uhf36cvGAZkORRL,78.074852
mOjjV-,qSnPbr7vyJh2Lar#ZBgAPS,7350.784180
IIrfRG,T3-54lV,67.970642
eZiVdLgzDdqqOz,ZNG1 RITD H4Y0JCLwtEWN7Cq'Ig,5185.320312
ChuFXFZMkZTe,NXE!5057d!uFpqL9.S,7805.935547
bkoGx-,NZDf9XKEj76 .57'RgegNt 8ly#vB6,8566.702148
ebhOnbOWvInwdsp,tfn6ymXgKpB-eZ,8322.300781
YoKzFwK cX,bs.iL!9?.,7926.502930
PBOgV,uV#zyyJkaCL,422.549622
hJx,s9FkD#2hJKlemt#Fou3kAKk3f,9353.942383
QyLlGx,aViAzoHKsU3nWPeIZcbG5Uwtxw,713.448303
iTA,Oy,7422.776855
iDSF,sOkEqp0sr3UIiK5cl92ejjSHEOdqdE,2378.326172
KSNB dP,Hn!QXAp87OK vldZ0gMAL57k52CdG,6431.851562
kaQWTwUTmnDF,XUkd0uD8iubKf,8176.234375
dWLnkAxcWqVwDN H,bA5yU6,1289.969604
nRNSQijLhNVHilSy,gWmEyLcY??!31xg,1653.090698
HwjefGR,?p9YVM4?v5v77QB5O1PI,6003.879395
dGDCLY,WlVIRa0n4YfqQ,1541.171509
rUsJPTLyZcdAEc,AJnSaCS1mdfrtV1'IrF.JX?n0v,6511.454102
ohKD,0MUl,844.133911
ZQ,Zh1g,3906.718018
xCsNbLAPvVM,BedGBnXj!Yd342.P9KF4QorBIFK,2184.237061
LyltZAmYGInjpta,uwSC1,3334.653809
DDiIEggORUZzRNLN,'vA-WhUODw,8474.500000
Xvk,N2iU-8A8F,7813.104980
MlXrD,I'!PRjPKi2cth5D9,350.628235
gN kbBubbFtU,',6491.481445
mikkVtRRBFkAAV,bZr7mT2Jlh?ttH-5PnhvjeALvM,4922.926758
CBQwvQRbG,X!tr5MvZ!.JfoTXO1,5171.255371
VmDKroeft,WUBr,1525.864136
B,LBeEIXqYbBIcipQPp-FVAizfzx,8713.233398
k,a,3900.404053
atuRZEUCpQxWn,WVTAe1,283.710999
Ezq,pQoGNElbAUn-aEHb-rpn#9k,1019.223572
PcNnJklbO,VqNtnrdh5HmD!DTl#iwIy33wJv,6704.000488
PSPPvbQHh,aqe0URm.zhb,9358.262695
bR,sl70Q,7764.311035
tmQuqMBq,Wv4'#N6urENEBo qz7aMXSPs4q,7880.008789
eTgRSamUx,sZpCmQomDkQ,5360.371094
zKML,LJx,585.618896
ZyVnKNKRoZyMCBQt,XX0Dd5w2tE8nsLRHU R15ikD,5684.354004
OM,9-2QV3qgibz,7488.391113
QzDTjFxgJMFom,tAo#,4992.787598
CQCmQHnJp,nN0p#oI,1555.036255
aJwpjAVxFk,Q6Za'EeZZIg#S6YNS36,9432.199219
hh,.t6-0?nAA'?wAQ,19.990597
arkrfm,30.vV0G#UZ1Ogw1GWuaQVQrAu PoljVL,1928.468994
hDeVIy,DZZZK2F4zefNvd,8547.859375
LzhRxZYc,L5Jn lRZHz,9232.502930
mQICQBrkUmjr,V1Pfr,8320.047852
CZMLbM -vmC,9jC2f0Y8NHvaZfP4xA,571.495178
mIZDIYBry,KO7#'#ss35Zh5H1a8hBHUeeZyT1M4,9664.236328
